First name,Last name,hn,st,tow,ci,pc,reg,make,model,eng
Vassily,Duffitt,68,Pleasure,Peoria,Illinois,61640,5UXWX7C57BL899431,Lexus,RX Hybrid,0.9
Cleo,Cannaway,9,Duke,Huntington,West Virginia,25716,5N1CR2MM6EC687451,Maserati,Quattroporte,3.4
Alisander,Burdell,21,Melody,Lexington,Kentucky,40524,WAUDGBFL0BA649351,Plymouth,Colt Vista,3.9
Lancelot,Shildrake,33,Eastwood,Warren,Michigan,48092,1FTEW1CM3BF678117,Dodge,Caravan,2.8
Waneta,Boutton,84,Blackbird,Washington,District of Columbia,20244,WBAYB6C59DC434250,Cadillac,SRX,3
Adrea,Osgarby,48,Morrow,Nashville,Tennessee,37240,WAUUL58E25A750021,Mazda,626,2
Sada,Roughsedge,34,Comanche,Washington,District of Columbia,20268,WDDNG7DB8DA513766,Ford,Taurus,2.5
Cazzie,Miko,30,Birchwood,Tucson,Arizona,85748,1GYS4JEF0DR687136,GMC,3500 Club Coupe,3.7
Tine,Kingzeth,78,Pine View,Austin,Texas,78715,1G6DB1ED6B0758945,Kia,Sedona,1
Bonita,Aggett,18,Knutson,Youngstown,Ohio,44555,4T1BF3EK7AU911743,Lincoln,Continental,3.3
Hedvige,Bezant,81,Mitchell,Pensacola,Florida,32595,4T1BF1FK7DU258161,Ford,E350,1.8
Ede,Loads,3,Eastlawn,Florence,South Carolina,29505,1FTSW3B56AE322175,Chevrolet,Silverado 2500,1.4
Benedict,Bartolomeotti,25,East,Arlington,Virginia,22244,SAJWA4DC9AM268169,Audi,A6,1.5
Elyssa,Snodin,10,Artisan,Ann Arbor,Michigan,48107,2D4RN3D1XAR241569,Chevrolet,Avalanche 2500,2.1
Garv,Servant,11,Hoffman,Harrisburg,Pennsylvania,17140,1GTN1TEX6DZ236437,Ford,E150,1.7
Rogerio,Chalke,3,Pennsylvania,Fargo,North Dakota,58106,WAUJC68E05A391132,Buick,Roadmaster,1
Franz,Blackway,26,Melrose,Amarillo,Texas,79182,WBAVC93547K687603,Pontiac,Torrent,1
Ciel,Dradey,81,Rieder,Anchorage,Alaska,99512,2G4WC582171824023,Oldsmobile,88,1
Jamima,Stallibrass,33,Kim,Miami,Florida,33190,WAUHF98P19A948743,BMW,5 Series,0.9
Kym,Daine,80,Kinsman,Charleston,West Virginia,25389,WBABW33415P147804,Ford,F250,1.3
Diane-marie,Erridge,22,Sloan,Augusta,Georgia,30905,2T3BF4DV1CW443407,GMC,Suburban 1500,2.3
Walliw,Kohnemann,97,Bobwhite,Charlotte,North Carolina,28263,WBAWR3C59AP551218,Kia,Sportage,3.6
Gerik,Strippling,33,Vera,El Paso,Texas,88563,1N4AL2AP0BN804085,Mercedes-Benz,SLK-Class,2.6
Dora,Guyot,84,Towne,Houston,Texas,77025,WAUMGAFL9CA378947,Nissan,Murano,1.9
Jerry,Crossman,93,Wayridge,Schenectady,New York,12325,1GD21ZCG5CZ593983,Mercedes-Benz,W123,1.2
Zelda,Dimmer,87,Vahlen,Saint Louis,Missouri,63131,WBAWC73559E448345,Plymouth,Colt,2.4
Tatiania,Vidloc,81,Russell,Waltham,Massachusetts,2453,WBA6B4C51DD148768,Subaru,Outback,1.9
Aeriell,Clohessy,27,3rd,Orange,California,92867,4A31K3DT8AE207029,Toyota,Celica,2.5
Bobbette,Belz,82,Luster,Lafayette,Louisiana,70505,WAUEF78E96A210478,Hyundai,Santa Fe,2.7
Bennett,Clawsley,7,Algoma,Detroit,Michigan,48275,WBABS33492P642145,Lexus,IS-F,1.6
Merell,Ourry,30,Superior,Mc Keesport,Pennsylvania,15134,WAUDH98EX8A756940,Chevrolet,Lumina,1.2
Jackquelin,Lumbley,2,Claremont,Oklahoma City,Oklahoma,73147,WAUEF98E76A277463,Mercedes-Benz,C-Class,3.9
Tommie,Wennington,68,Vera,San Mateo,California,94405,5N1AA0NC7CN919758,Buick,Skylark,3
Rivy,Woolger,61,Tony,Mount Vernon,New York,10557,1GYS3DEF9CR989236,Buick,Coachbuilder,1.3
Corrie,Plenderleith,3,Fulton,Des Moines,Iowa,50362,1G6DK1ED0B0270395,Suzuki,Vitara,1.1
Thorndike,Civitillo,57,Lukken,Louisville,Kentucky,40225,WDDHF0EB4FB405728,Chevrolet,Express 1500,3.3
Davina,Bultitude,58,Division,Lubbock,Texas,79491,WDDJK7DA0EF758943,Chevrolet,Colorado,3
Shayna,Heiss,16,Glendale,Kansas City,Missouri,64179,WDDEJ7KB7BA027502,Chevrolet,Astro,4
Quinton,De Zuani,5,Scott,Clearwater,Florida,33758,SAJWJ1CD9F8627870,Buick,LeSabre,1.8
Tandie,Draycott,11,6th,Baltimore,Maryland,21239,19VDE3F73EE537686,Toyota,Avalon,3.8
Kelcy,Boxhill,49,Raven,Topeka,Kansas,66667,JTHBC1KS2A5319147,BMW,7 Series,3
Mattie,Fandrey,69,Troy,Grand Rapids,Michigan,49510,3VWML7AJ3EM582301,Mitsubishi,Raider,1.2
Jocko,Getty,23,Cambridge,Ventura,California,93005,3N1BC1APXAL305935,Mercedes-Benz,S-Class,2.5
Lizzy,Batha,40,Northport,Amarillo,Texas,79105,SCBLC47JX8C342675,Lincoln,Navigator,3.5
Walker,Limeburner,80,Loomis,Jackson,Mississippi,39204,3N1CE2CP6FL313250,Saab,9-7X,1.7
Leonanie,Shepherd,29,Springview,Los Angeles,California,90025,2B3CK5CT3AH912727,Maserati,Spyder,1.7
Gaile,Zukierman,73,8th,Fort Worth,Texas,76105,WAULD54B94N238025,Pontiac,Vibe,2.6
Mathian,Gonneau,66,Meadow Valley,Phoenix,Arizona,85099,5TDBKRFH9FS069599,Buick,LeSabre,3.7
Erda,Pampling,82,Gale,Idaho Falls,Idaho,83405,3C6JD6DK8CG013710,Ford,Probe,3.7
Hillary,Lodwick,47,Starling,Portland,Oregon,97232,JN8AZ1FY3BW780710,Volvo,V40,1.2
Robena,O'Connel,22,Oakridge,Charlotte,North Carolina,28215,W04GU5GC5B1392464,Ford,Mustang,1.3
Ana,Cruddas,99,Utah,Orlando,Florida,32825,1GTN1UEH8FZ944772,Mercedes-Benz,SLK-Class,2.1
Melody,O'Dogherty,19,Hoepker,Flint,Michigan,48555,2GKALMEK1F6759953,GMC,Rally Wagon 3500,0.9
Gabriell,Macauley,46,Rutledge,Orlando,Florida,32854,1G6DJ577090623178,Ford,F150,1.7
Darci,Norfolk,76,Chinook,Birmingham,Alabama,35225,KMHTC6AD1EU988877,Mazda,Familia,2.3
Tiphany,Thirkettle,64,Judy,Marietta,Georgia,30061,WAUDGBFL6AA783716,Lamborghini,Countach,1.6
Winnah,Patis,3,Hanover,Newark,Delaware,19725,WBASP2C53DC894116,BMW,600,2.4
Anastassia,Gready,66,Brown,Phoenix,Arizona,85025,1C4RJEAG8EC460400,Eagle,Summit,1.6
Randy,Aires,68,Dryden,Pittsburgh,Pennsylvania,15205,1J4NF1GB2BD813363,Mercury,Marquis,3.5
Brinn,Martinets,7,Grasskamp,Arlington,Virginia,22244,WAUFFAFM0CA509137,Acura,ZDX,2
Annabella,Antonoyev,59,Debs,Des Moines,Iowa,50310,1GYFK66828R080469,Hyundai,Excel,1.7
Edvard,Mighele,81,American,Pittsburgh,Pennsylvania,15225,KNDMB5C14F6392600,Ford,Ranger,1.2
Granger,Goley,93,Spenser,Waterloo,Iowa,50706,WBAEA53528C286402,Chevrolet,Avalanche 1500,4
Randa,Swift,70,Tomscot,Fort Worth,Texas,76129,1G6DS8E33C0314729,Cadillac,Escalade ESV,0.9
Durante,Siddens,33,Gulseth,Newton,Massachusetts,2162,5FRYD3H47GB420185,GMC,Savana,2.8
Maybelle,Cominello,27,Dahle,Louisville,Kentucky,40287,3LNHL2GC2CR448584,Chevrolet,2500,1.1
Gipsy,Ramel,59,Ruskin,El Paso,Texas,79945,SCFEDCAD3AG540093,Pontiac,6000,3.9
Lolita,Matuszkiewicz,36,Michigan,Albany,New York,12242,2HNYD28527H563604,Volkswagen,GTI,1.5
Mace,Volke,87,Donald,Lexington,Kentucky,40581,WAUDN74F48N347627,Toyota,Highlander,2
Merla,St Angel,66,Wayridge,Manassas,Virginia,22111,1FTEX1CM1DF782850,Volkswagen,Jetta,1.3
Ruby,Ellar,37,Rusk,Rochester,New York,14604,WBAYP1C58ED783125,BMW,3 Series,2.9
Hewie,Grimsdyke,1,Arkansas,Richmond,Virginia,23208,WA1AGBFE2CD724150,Saab,900,1.5
Doti,Milson,56,Ilene,San Diego,California,92121,WA1WYBFE6AD909091,Chrysler,Town & Country,3.1
Carie,Chattelaine,2,Moulton,Duluth,Minnesota,55805,1G6KD57Y67U252198,Ford,Thunderbird,1.1
Granny,Schenkel,53,Upham,San Antonio,Texas,78291,WAUKG58E45A219415,Lincoln,Continental,2.6
Boote,Davers,44,Meadow Valley,Jackson,Mississippi,39204,2G4GP5EX4F9529684,Mitsubishi,Cordia,3.4
Michell,Scanterbury,37,8th,Athens,Georgia,30610,5TDDK3DC0FS747945,Audi,S6,2.5
Nina,McPolin,38,Crest Line,Saint Louis,Missouri,63167,WAUDF58E85A472149,Nissan,Maxima,3.6
Niles,Bemment,32,Ridgeway,Seattle,Washington,98158,WAUEH98E27A293078,Mercedes-Benz,GL-Class,3.2
Linell,Dongles,47,Kim,El Paso,Texas,79928,2G4GU5GC4B9831344,Honda,Accord,1.4
Aluin,Cornilleau,85,Oak Valley,Albuquerque,New Mexico,87195,WDCYC3HF8FX962982,Acura,CL,3.4
Marinna,Gaul,4,Corscot,Anchorage,Alaska,99512,TRUSX28N921790689,Lotus,Esprit Turbo,3.6
Patty,Riguard,12,Farwell,Houston,Texas,77223,2T2BK1BA1DC503803,Chevrolet,3500,3.1
Chrysa,Friedman,88,Union,Indianapolis,Indiana,46221,4T1BD1FK4EU887092,Mercury,Cougar,2.5
Theodosia,Stoaks,57,Gale,San Francisco,California,94159,WBAKF9C52BE232959,Pontiac,GTO,2.9
Bibbye,Lethbridge,33,Blackbird,Roanoke,Virginia,24048,WBABS53433J494431,Chevrolet,Malibu,2.3
Donnie,Genty,93,Maryland,Macon,Georgia,31210,WAULT58E55A050781,Lexus,LS,3.6
Monika,Di Maria,81,Talisman,Jersey City,New Jersey,7310,ZFF75VFA9F0008881,Honda,Accord,2.6
Zerk,Attryde,96,Morning,Pittsburgh,Pennsylvania,15240,WAUVT64B94N392607,Acura,Integra,2.7
Grady,Clemenceau,43,Clarendon,Dallas,Texas,75387,3A4GY5F93AT544713,Dodge,Ram Van B150,2.2
Baily,Lovemore,16,Forest Dale,Sacramento,California,95828,1G4GC5EC0BF579119,Jeep,Wrangler,2.3
Vernice,Mangin,58,Havey,Delray Beach,Florida,33448,SAJWA2GT0EM724355,Audi,90,1.9
Elset,Mountjoy,53,5th,Miami,Florida,33153,2T2BK1BA4BC709100,Toyota,Tacoma,3.7
Christean,Henriet,99,Butterfield,Springfield,Illinois,62756,WBAKE5C56DJ488463,Toyota,Corolla,1.7
Lester,Corbally,88,Rutledge,Dallas,Texas,75236,WAU3VAFR7AA157432,Chevrolet,Camaro,1.7
Sloan,Napper,82,Talmadge,Spokane,Washington,99210,3N1AB7AP4FL551484,BMW,7 Series,1.7
Cybill,Spicer,7,Cardinal,Lexington,Kentucky,40591,1GYS3GEF7CR191772,Isuzu,Rodeo,1.9
Paolina,Westmacott,6,Meadow Vale,Stamford,Connecticut,6912,SCBLF44J99C330126,Mercedes-Benz,C-Class,2.3
Eduard,Pepper,13,Meadow Ridge,Orlando,Florida,32830,5N1AR2MM9DC859235,Saab,900,2.3
Ethyl,Hucknall,1,Superior,Sacramento,California,94245,WA1DKAFP3CA656210,Mercury,Capri,0.9
Pierson,Eykelbosch,43,Elka,Kansas City,Missouri,64101,WBAAV53411J002592,Audi,R8,2.1
Lauraine,Torrans,28,Division,Portland,Oregon,97229,3TMJU4GN6EM898349,Chevrolet,Impala,2.4
Saul,Giblett,5,Johnson,Salt Lake City,Utah,84140,2T1KU4EE4BC856242,Ford,Thunderbird,2.6
Ignazio,Killiam,80,Elmside,Washington,District of Columbia,20046,4T1BD1FK2DU563458,Pontiac,Grand Prix,2.1
Gillie,Balshaw,77,Namekagon,Jersey City,New Jersey,7305,1GD220CG1CZ856916,Buick,Park Avenue,0.9
Jessi,Antyshev,46,Anhalt,Saint Cloud,Minnesota,56372,WBA3R5C54FK139808,Subaru,Impreza,2.6
Norean,Woodstock,13,Coleman,Huntsville,Texas,77343,1C3CDFCA9DD046695,Kia,Optima,3.6
Thom,Bellin,26,Loeprich,Riverside,California,92519,JM1NC2JF6B0762778,Toyota,Camry Hybrid,2.8
Kayle,Massel,14,Jenna,Concord,California,94522,WAUDG68E85A970368,Volvo,S40,1.4
Jourdain,Nicholls,35,Arkansas,Atlanta,Georgia,30358,WBA3B1C55EK630870,MINI,Cooper Countryman,3.9
Erik,Burstow,43,Fallview,Austin,Texas,78710,SCFAD02A45G982713,Austin,Mini Cooper,2.4
Lauren,Michieli,92,Helena,Columbus,Ohio,43226,WBAPM7C50AE136312,Volkswagen,Corrado,1.1
Paddy,Purnell,2,Warbler,Baton Rouge,Louisiana,70894,WAULD54B14N726689,Mazda,Miata MX-5,2.3
Oliy,Blodgetts,20,Starling,Wichita,Kansas,67205,WAUSF78K79A730272,Cadillac,CTS,1.8
Parry,Chateau,3,Anhalt,Rockville,Maryland,20851,WAUKF68E65A109653,Chrysler,Town & Country,1.8
Ileane,Verduin,7,Bartillon,Aurora,Colorado,80044,1GD01ZCG2BF267517,Kia,Sportage,2.8
Marget,Mealham,6,Norway Maple,Sioux Falls,South Dakota,57105,3D7TT2HT8BG417806,GMC,Sonoma,1.1
Sammie,Razoux,29,Colorado,Hamilton,Ohio,45020,KMHD35LH5FU833135,Cadillac,Escalade,3.9
Cobby,Tomik,60,Merrick,Dayton,Ohio,45403,WP0CA2A84EK859100,Nissan,Murano,3.2
Issi,Capener,23,Paget,Milwaukee,Wisconsin,53215,2LMDJ6JK1EB207181,Dodge,Dakota,2.2
Blake,Grice,32,Fairfield,Canton,Ohio,44760,WBA3C3C53EP591269,Aston Martin,DB9,3.7
Winni,Francesch,14,Lawn,El Paso,Texas,79950,1N6AA0CA5CN680097,Volkswagen,GTI,1.4
Viva,Bovis,2,Petterle,New Bedford,Massachusetts,2745,3GTU1YEJ2BG549745,Lincoln,Continental,3
Mahmoud,Matsell,1,Parkside,Washington,District of Columbia,20566,1G4GA5GR3FF857699,Cadillac,Seville,1.7
Nanci,Dehn,24,Ridgeway,Milwaukee,Wisconsin,53220,2C3CCAPG1DH835592,Lincoln,Mark LT,3.4
Tito,Greig,63,Northview,Columbia,South Carolina,29240,2G4GT5GX5F9947695,Toyota,Avalon,1.7
Burnard,Chittock,91,Bonner,Topeka,Kansas,66611,SALVP2BG4FH714417,Nissan,Altima,3.6
Dinny,Parnham,67,Northview,Mobile,Alabama,36628,WAUKF78E55A194443,Oldsmobile,88,1.1
Pinchas,Fincher,85,Calypso,New York City,New York,10125,JTDZN3EU3E3098906,Chevrolet,Express 1500,3.9
Elfrieda,Inman,83,Derek,Rochester,New York,14619,WBAVA33507K303139,GMC,Sonoma,2.7
Pegeen,Domm,49,Westport,Lincoln,Nebraska,68517,WAUBF78E08A701320,Mercury,Montego,1.3
Thornton,Snook,51,Delaware,El Paso,Texas,88553,WA1VMAFE0BD737398,Audi,A8,1
Marci,Sigmund,82,Briar Crest,Reno,Nevada,89510,1B3CB2HA0AD538810,Nissan,Altima,1.6
Ariela,Pemble,5,Starling,York,Pennsylvania,17405,SALAB2D44CA084094,Kia,Rio,3.9
Ragnar,Fife,47,Anniversary,Jefferson City,Missouri,65105,WBAVA33517P915689,Mazda,626,1.8
Nataniel,Conrard,57,Buhler,Naples,Florida,33961,ZHWGU5AU7CL131759,Toyota,Xtra,1
Rurik,Goundry,35,Stone Corner,El Paso,Texas,88541,2T1BURHE8FC140409,Toyota,Land Cruiser,2.3
Gabrielle,Gorler,47,Clemons,Youngstown,Ohio,44505,5GADT13S842918554,Chevrolet,Caprice,3.8
Marys,Plose,29,Norway Maple,Peoria,Illinois,61614,JH4DC53896S641344,Pontiac,Vibe,1.5
Jaclyn,Alton,63,Graedel,Austin,Texas,78744,WAUDF98E68A935370,Chevrolet,Lumina,3
Garald,Rickarsey,6,Packers,El Paso,Texas,88579,1N4AA5AP4EC379719,Mercedes-Benz,400SE,0.8
Adler,Baynam,36,Becker,Watertown,Massachusetts,2472,WAUKGBFBXAN626374,Mercedes-Benz,C-Class,1.7
Helga,Bendle,21,Reinke,Tampa,Florida,33615,2HNYD18743H194489,Acura,TL,2.5
North,Leivesley,95,Ridgeview,Saint Louis,Missouri,63158,1G4GC5G3XFF604272,Toyota,Celica,3.9
Vanessa,Janata,62,Novick,Mobile,Alabama,36670,YV1612FS8E1872451,GMC,Savana 3500,3.6
Bartolomeo,Bartrop,97,Valley Edge,Asheville,North Carolina,28805,JN1CV6APXAM313471,Nissan,Sentra,1
Cindie,Nangle,51,Helena,Portsmouth,Virginia,23705,JTMHY7AJ0F4967656,Ford,Windstar,3.1
Fredia,McDuall,43,Farwell,Oklahoma City,Oklahoma,73157,3VW4A7AT5DM004688,BMW,X5 M,0.8
Red,Couvert,20,Lighthouse Bay,Shawnee Mission,Kansas,66286,WAUAKAFB0BN784728,GMC,Envoy XL,1.2
Carey,Northover,67,Vera,Anchorage,Alaska,99517,JM1DE1KYXE0009159,Buick,Terraza,2.4
Stace,Boosey,5,Talisman,Miami,Florida,33124,WP0AB2A86CS700662,Mercedes-Benz,E-Class,3.2
Magda,Rennebach,80,Jenna,Springfield,Illinois,62723,1N6AA0CA2AN832365,Jeep,Cherokee,1.1
Sheilah,Gourley,73,Coleman,Kansas City,Missouri,64114,2FMHK6CT0AB822389,Honda,Civic,2.7
Robinson,Momery,24,Badeau,Tulsa,Oklahoma,74126,WBAEN33415P092948,Porsche,Cayman,3.2
Betti,Smallshaw,48,Fair Oaks,Milwaukee,Wisconsin,53210,5NPEB4AC1CH767508,Aston Martin,V8 Vantage,0.8
Gates,Dalziel,96,Transport,Denver,Colorado,80291,WBAYP1C50DD124809,Volvo,XC70,2.4
Lizette,Lutwyche,42,Knutson,Chattanooga,Tennessee,37450,1FMJK1F53BE877104,Suzuki,XL-7,1.6
Carla,Van Der Weedenburg,75,Longview,Dallas,Texas,75342,4T1BF1FK6DU613790,Mitsubishi,Montero,1.1
Barbe,Silvester,87,Hooker,Honolulu,Hawaii,96845,1G4HR54K72U914609,Ford,Ranger,2.4
Annabal,Tong,10,Hermina,Honolulu,Hawaii,96845,JN8AZ1MU4DW986444,Cadillac,Fleetwood,0.8
Elsy,Farden,83,Veith,Lexington,Kentucky,40510,WAUFFAFM3AA332757,Cadillac,STS-V,3.6
Eal,De Santos,84,Nova,Birmingham,Alabama,35263,1D7RV1CP0AS835129,Pontiac,Grand Prix,0.8
Lazare,Whaplington,91,Caliangt,Chicago,Illinois,60641,WBANU53599C188542,Chevrolet,Lumina,1.4
Claiborn,Hillatt,71,Pennsylvania,Portland,Oregon,97286,1GYFK16289R758965,Chevrolet,Blazer,2.5
Uri,Swarbrigg,59,Sugar,Washington,District of Columbia,20425,WAUEKAFB8AN385565,Mercedes-Benz,GLK-Class,4
Ancell,Batty,36,Kingsford,Salt Lake City,Utah,84140,JTEBU5JR2F5324212,Jeep,Wrangler,1.4
Hashim,Rawlins,84,Pine View,Silver Spring,Maryland,20910,1D4PT7GX7AW839548,Jeep,Compass,3.4
Alair,Feldbrin,7,Hanover,Springfield,Massachusetts,1152,1C4RDJDG0EC304301,Chevrolet,Equinox,1.9
Ursuline,Glandon,7,Donald,Independence,Missouri,64054,WAULT64B54N223711,Lexus,IS,1.6
Davidson,Dewett,19,Donald,Shreveport,Louisiana,71137,5NPEB4AC3BH175784,Dodge,Neon,3.5
Washington,O'Crowley,52,Dottie,Philadelphia,Pennsylvania,19131,WVGEF9BP1DD935900,Mitsubishi,Galant,2.1
Raynell,Jerdon,21,Village,Tucson,Arizona,85720,JH4CU26629C361118,Cadillac,Escalade,3.1
Hedda,Weinberg,33,Donald,Birmingham,Alabama,35205,JH4DC43591S222483,Lincoln,Continental,1.4
Phillis,Izen,15,Jay,Philadelphia,Pennsylvania,19172,1N4AL2AP2AC700465,Ford,F-Series,0.8
Abbie,Thomazet,51,Holmberg,Naples,Florida,33963,SALME1D44BA918930,Mazda,626,2.5
Jacquie,Arrandale,55,Fair Oaks,San Diego,California,92176,2G61M5S3XE9346604,Lexus,ES,1
Ellene,Chillcot,16,Huxley,Amarillo,Texas,79118,WAUWMAFC2EN157879,Austin,Mini Cooper,0.9
Carlene,Flockhart,5,Sycamore,Topeka,Kansas,66699,WAUVC68E85A726574,MINI,Cooper,1.9
Ame,Routh,51,Garrison,Arvada,Colorado,80005,3VW4A7AT0CM040531,Eagle,Vision,0.8
Norton,Weild,92,Pawling,Lafayette,Louisiana,70593,WBASP4C56CC151637,Lexus,GX,3.4
Vivyan,Howle,42,Carey,Dallas,Texas,75358,3GYFNEE36DS620324,Lincoln,Continental Mark VII,3.9
Cecelia,Wycliff,56,Commercial,Jackson,Mississippi,39210,2FMDK3AC0AB762047,Mercury,Sable,3.2
Brennen,Liveing,58,Oriole,Portsmouth,New Hampshire,3804,19UUA56643A650537,Toyota,Land Cruiser,3
Katy,Melby,35,Kipling,Knoxville,Tennessee,37914,5N1AT2ML7EC956332,Acura,MDX,3.2
Cindra,Strathdee,20,Havey,Washington,District of Columbia,20456,2G4WD582171530117,BMW,525,1.4
Tamas,Mathy,4,Aberg,Lehigh Acres,Florida,33972,5N1AA0NE4EN683476,Dodge,Caravan,2.8
Grady,Pic,19,Carey,Florence,South Carolina,29505,2G4WD582681143497,Suzuki,Esteem,2.6
Tibold,Cuttelar,30,Vera,Little Rock,Arkansas,72204,1G4GA5GR0DF799662,Mitsubishi,Diamante,1.7
Karia,Patel,66,Vidon,Salinas,California,93907,JTDZN3EU2E3878525,Ford,E150,3.1
Penny,Brockwell,98,Hudson,Fairfield,Connecticut,6825,YV140MAB1F1000174,Mitsubishi,Mighty Max,2
Maxwell,Argontt,67,Center,Rockford,Illinois,61110,1G6DL8EG7A0527051,Buick,Regal,2.9
Rickey,Robus,55,Logan,Naples,Florida,34108,WAUFGBFB8AN655423,Lexus,RX,3.8
Wye,Leads,12,Coolidge,Charleston,South Carolina,29416,2G4GN5EC8B9436566,Bentley,Arnage,3.6
Kial,Kendrew,52,Northport,Knoxville,Tennessee,37931,WAUDF78E95A961252,Chevrolet,Avalanche 1500,2
Carmina,Wickson,31,Rigney,Pasadena,California,91103,WDDHF7GB1EA552468,Suzuki,Samurai,1.1
Darleen,Tumielli,31,Jenifer,Columbus,Ohio,43215,JTEBU5JR0E5555611,Buick,Rainier,1.8
Dallon,Allaker,16,Montana,Chesapeake,Virginia,23324,WAUBFAFLXBA505309,Porsche,944,1.3
Germain,Schwerin,27,Lakeland,Corpus Christi,Texas,78426,JA32X2HU0CU516362,Lexus,ES,1.3
Austin,Bouller,66,Lunder,New York City,New York,10150,5XYZG3AB1BG007671,Chevrolet,Camaro,1
Galen,Dufer,99,Jay,Saint Paul,Minnesota,55146,2G4GT5GX9E9597938,Ford,Th!nk,1.2
Carley,Dearnley,9,Park Meadow,New Castle,Pennsylvania,16107,1FTMF1CW7AK616769,Pontiac,LeMans,1.6
Rand,Benardet,5,Green,Minneapolis,Minnesota,55446,WA1WGBFP7EA316948,Mercedes-Benz,CLS-Class,0.9
Jakie,Findlater,15,Kinsman,Harrisburg,Pennsylvania,17126,JN8AF5MV8FT847964,Mitsubishi,Challenger,3.2
Nettle,Tree,29,Mallory,Charlotte,North Carolina,28256,WAUHF78P48A055131,Isuzu,Rodeo,1.7
Ben,Houldin,71,Butternut,Glendale,California,91210,3VW4T7AT4EM696552,Lotus,Exige,3.6
Starr,Carus,80,Vera,Miami,Florida,33158,WBABN53442J055518,Mercury,Monterey,1.8
Alexei,Flaunier,28,Eggendart,Punta Gorda,Florida,33982,WBAGN634X3D496694,Audi,S6,0.9
Lorelle,McGurn,43,Merrick,Akron,Ohio,44310,1G6KS54Y44U583660,Chevrolet,Aveo,1
Paulette,Dellenbroker,36,Chive,New York City,New York,10270,3GTU1YEJ4BG426724,Lexus,SC,2.5
Leyla,Redsull,85,Chive,Ridgely,Maryland,21684,JH4CU4F4XBC394318,Chevrolet,Suburban 1500,1.9
Renell,Alflat,21,Riverside,Metairie,Louisiana,70033,WAUHFBFL2DN539577,Honda,S2000,1.9
Casar,Foulsham,3,Independence,Rochester,New York,14646,WAU4FAFR5DA625700,Mercury,Cougar,1.7
